bad_flag,transact_id,weight,numeric1,numeric2,numeric3,numeric4,numeric5,character1,character2,character3,character4,character5,numeric6,numeric7,character6,character7,numeric8,character8
1,1,0.7367123805,187.62396061,78,,4.4305993407,5,2,3,76,,Y,894.6573654,515,15,59,902.89712249,63
0,2,3.6840279919,187.2640576,11,,6.9396743749,5,2,1,,,Y,915.53959606,578,5,67,917.95188067,68
0,3,0.8513972478,122.32938722,11,,6.0805517899,5,3,2,87,,Y,1279.1355399,606,8,74,1280.0351935,78
0,4,2.0218429284,46.97589024,113,,1.3431712426,5,2,0,16,,Y,800.63344495,632,10,62,802.59988313,65
1,5,1.5967528834,145.97195842,12,,4.1316215056,5,5,1,102,,Y,1026.8134188,501,12,48,1037.0833986,48
1,6,0.5755482619,126.27578137,9,,5.0436102319,5,1,4,78,,Y,1050.4788429,461,6,42,1060.3946536,45
0,7,0.5581847339,158.33302945,84,,3.4015154916,5,1,2,82,,Y,690.91018925,582,12,69,698.14456502,72
1,8,1.2312186122,118.49385196,8,,3.9133756705,5,0,6,89,,Y,1156.4023358,519,11,53,1173.1080562,55
1,9,1.7345570922,190.85269616,18,,5.0522022365,5,2,2,93,,Y,1050.096752,496,6,42,1056.8741006,44
1,10,2.8679817875,189.39319905,9,,3.6489650751,5,0,4,88,,Y,1044.8570064,513,9,54,1054.5928784,55
1,11,1.0187569795,197.86127373,80,,1.705369881,5,3,3,79,,Y,964.01598706,476,4,41,975.74301811,43
0,12,1.6560214847,163.82894934,8,,6.8108761746,5,3,5,90,,Y,771.41749526,589,7,79,774.30437768,80
1,13,0.5513438489,56.177948057,109,,1.1667881386,5,5,0,14,,Y,983.04234604,478,7,48,1001.7925675,54
0,14,1.0076438513,129.30800423,10,,4.3869125017,5,2,3,96,,Y,660.97390389,630,10,83,677.37813945,88
1,15,2.7528968567,180.9537596,83,,2.4378711817,5,3,2,63,,Y,1018.3643723,464,12,62,1026.710632,63
1,16,1.973397126,186.34774165,69,,3.4173390213,5,5,3,83,,Y,944.21382968,525,8,43,948.16388121,44
1,17,3.8851837854,210.94469795,82,,1.8415970217,5,6,4,63,,Y,939.36157258,520,6,52,950.52556145,53
1,18,0.5277370284,215.61015817,83,,2.0077725087,5,5,3,77,,Y,987.4390141,502,7,52,1002.1133604,54
1,19,0.7411596681,133.82185319,14,,7.0777492961,5,1,6,92,,Y,933.69093368,526,9,57,946.44360999,59
0,20,4.7550272906,236.3693124,76,,2.1299740291,5,2,2,67,,Y,905.60805395,604,6,79,918.95532902,84
0,21,1.1293822151,221.14858559,79,,2.2960140723,5,5,1,82,,Y,976.26153601,635,6,87,977.19500954,89
1,22,2.2197685552,112.96690647,80,,5.8706444331,5,5,3,58,,Y,1045.3373442,522,12,53,1055.0739396,55
0,23,1.9223176958,185.48712808,83,,3.5751111351,5,3,1,77,,Y,1193.3664601,649,6,78,1206.8202624,78
1,24,1.0171334683,190.92247502,6,,6.4814307054,5,2,3,129,,Y,1079.9757601,511,14,52,1092.3780297,55
1,25,0.7372303227,185.37303811,67,,1.2570684105,5,0,3,73,,Y,1030.6211111,478,9,48,1031.887496,50
0,26,2.7891367789,49.265985227,94,,1.2978753773,5,6,5,8,,Y,485.89914439,570,3,59,486.64201972,59
1,27,0.7604199563,104.24738456,49,,5.51117359,5,0,5,49,,Y,1131.9175988,511,10,37,1139.9540257,39
